biome * ffffff ffffff ffffff
biome 106 ffffff b9b953 a7a529
biome 107 ffff77 ccc9ad d7dbb6
biome 108 ffffff 79c05a 59ae30
biome 109 ffffff bfb755 aea42a
biome 110 ffffff bfb755 aea42a
biome 111 ffffff bfb755 aea42a
biome 112 ffffff bfb755 aea42a
biome 113 ffffff bfb755 aea42a
biome 114 ffffff bfb755 aea42a
biome 115 ffffff bfb755 aea42a
biome 116 ffffff 83bd65 65ab3e
biome 117 ffffff 82c245 64b216
biome 118 ffffff 70c15b 4cb031
biome 119 ffffff 8eb971 71a74d
biome 120 ffffff 79c05a 59ae30
biome 121 ffffff 88b977 6aa755
biome 122 ffffff 72c250 4eb224
biome 123 e0ffae 5c694e 496137
biome 124 ffffff 7cbd6b 5bab46
biome 125 ffffff 84b68d 65a371
biome 126 ffffff 8eb971 71a74d
biome 127 ffffff 74bf26 74bf26
biome 128 ffffff 80b497 60a17b
biome 129 ffffff 91bd59 77ab2f
biome 130 ffffff bfb755 aea42a
biome 131 ffffff 8ab689 6da36b
biome 132 ffffff 79c05a 59ae30
biome 133 ffffff 86b783 68a464
biome 134 e0ffae 6a7039 6a7039
biome 135 ffffff 91bd59 77ab2f
biome 136 ffffff b9b75b a6a432
biome 137 ffffff 7cbd6b 5bab46
biome 138 ffffff 61c64b 3bb61e
biome 139 ffffff 554114 e94e14
biome 140 ffffff 80b497 60a17b
biome 141 ffffff 90b682 74a362
biome 142 ffffff 4b6754 3b5e3f
biome 143 ffffff 8eb93f 71a73f
biome 144 6c2c2c 572e23 64260f
biome 145 ffffff 90b682 74a362
biome 146 ffffff 80b497 60a17b
biome 149 ffffff 59c93c 30bb0b
biome 151 ffffff 64c73f 3eb80f
biome 155 ffffff 88bb66 6ba940
biome 156 ffffff 88bb66 6ba940
biome 157 ffffff 507a32 59ae30
biome 158 ffffff 80b497 60a17b
biome 160 ffffff 86b783 68a464
biome 161 ffffff 86b783 68a464
biome 162 ffffff 8ab689 6da36b
biome 163 ffffff bfb755 aea42a
biome 164 ffffff bfb755 aea42a
biome 165 ffffff 90814d 9e814d
biome 166 ffffff 90814d 9e814d
biome 167 ffffff 90814d 9e814d
biome 170 ffffff 79c05a 59ae30
biome 192 cc1188 6d4189 7c6d87
biome 193 0077ee 55ff81 66ffc5
biome 194 2e535f 404840 405340
biome 195 ffffff 8eb971 71a74d
biome 200 ffffff bfb755 aea42a
biome 228 ffffff 53ca37 29bc05
biome 229 ffffff a6bb4e 91a922
biome 230 ffffff b6b957 a3a52d
biome 231 ffffff c6ff54 c6ff54
biome 232 ffffff c1b668 c1b668
biome 233 ffffff 4e8833 4e8833
biome 255 ffffff 74bf26 74bf26
blocktype * * normal
blocktype 2 * grass
blocktype 8 * water
blocktype 9 * water
blocktype 18 * leaves
blocktype 18 1 opaque
blocktype 18 2 opaque
blocktype 31 * grass
blocktype 106 * foliage
blocktype 169 * grass
blocktype 1920 * grass
blocktype 1923 * opaque
blocktype 1924 * opaque
blocktype 1925 * foliage
blocktype 1926 * opaque
blocktype 1932 * foliage
blocktype 1962 * leaves
blocktype 2164 * leaves
blocktype 2177 * leaves
blocktype 2200 * opaque
blocktype 2204 * leaves
blocktype 3257 * opaque
blocktype 3258 * opaque
blocktype 3259 * leaves
blocktype 3272 * opaque
blocktype 3278 * opaque
block * * 00000000
block 1 * ff7d7d7d
block 2 * ff939393
block 3 * ff866043
block 3 2 ff5a3f1c
block 4 * ff7a7a7a
block 5 * ff9c7f4e
block 5 1 ff674d2e
block 5 2 ffc3b37b
block 5 3 ff9a6e4d
block 5 4 ffa95b33
block 5 5 ff3d2712
block 6 * 6438561c
block 6 0 6b476625
block 6 1 53333a21
block 6 2 6b769654
block 6 3 55305612
block 6 4 4b727314
block 6 8 6b476625
block 6 9 53333a21
block 6 10 6b769654
block 6 11 55305612
block 6 12 4b727314
block 7 * ff535353
block 8 * b22e43f4
block 9 * b22e43f4
block 10 * ffd1530f
block 11 * ffd1530f
block 12 * ffdbd3a0
block 12 1 ffa95821
block 13 * ff7e7c7a
block 14 * ff8f8b7c
block 15 * ff87827e
block 16 * ff737373
block 17 * ff57431a
block 17 0 ff9a7d4d
block 17 1 ff685130
block 17 2 ffb8a679
block 17 3 ff997649
block 17 4 ff665131
block 17 5 ff2d1c0c
block 17 6 ffcecec9
block 17 8 ff665131
block 17 9 ff2d1c0c
block 17 10 ffcecec9
block 17 12 ff665131
block 17 13 ff2d1c0c
block 17 14 ffcecec9
block 18 * ff878787
block 18 1 ff2c452c
block 18 2 ff43582d
block 18 3 ff918e86
block 18 5 ff747474
block 18 7 ff918e86
block 18 9 ff747474
block 18 11 ff918e86
block 18 13 ff747474
block 18 15 ff918e86
block 19 * ffb6b639
block 20 * 46daf0f4
block 21 * ff667086
block 22 * ff264389
block 23 * ff606060
block 23 1 ff565656
block 23 9 ff565656
block 24 * ffdad29e
block 25 * ff644332
block 26 * ffaf7474
block 26 0 ff8e1616
block 26 1 ff8e1616
block 26 2 ff8e1616
block 26 3 ff8e1616
block 26 4 ff8e1616
block 26 5 ff8e1616
block 26 6 ff8e1616
block 26 7 ff8e1616
block 27 * ab9a6846
block 27 0 ab846c48
block 27 1 ab846c48
block 27 2 ab846c48
block 27 3 ab846c48
block 27 4 ab846c48
block 27 5 ab846c48
block 27 6 ab846c48
block 27 7 ab846c48
block 28 * 9b895c50
block 28 0 9b786559
block 28 1 9b786559
block 28 2 9b786559
block 28 3 9b786559
block 28 4 9b786559
block 28 5 9b786559
block 28 6 9b786559
block 28 7 9b786559
block 29 * ff6a665f
block 29 0 ff606060
block 29 1 ff8d9263
block 29 6 ff8d9263
block 29 7 ff8d9263
block 29 8 ff606060
block 29 9 ff606060
block 29 14 ff8d9263
block 29 15 ff8d9263
block 30 * 68dcdcdc
block 31 * 517b4f19
block 31 1 a2747474
block 31 2 4e787878
block 32 * 517b4f19
block 33 * ff6a665f
block 33 0 ff606060
block 33 1 ff998159
block 33 6 ff998159
block 33 7 ff998159
block 33 8 ff606060
block 33 9 ff606060
block 33 14 ff998159
block 33 15 ff998159
block 34 * ff6a665f
block 34 0 ff998159
block 34 1 ff998159
block 34 8 ff998159
block 34 9 ff8d9263
block 35 0 ffdddddd
block 35 1 ffdb7d3e
block 35 2 ffb350bc
block 35 3 ff6a8ac9
block 35 4 ffb1a627
block 35 5 ff41ae38
block 35 6 ffd08499
block 35 7 ff404040
block 35 8 ff9aa1a1
block 35 9 ff2e6e89
block 35 10 ff7e3db5
block 35 11 ff2e388d
block 35 12 ff4f321f
block 35 13 ff35461b
block 35 14 ff963430
block 35 15 ff191616
block 36 * ff998159
block 37 * 60ffff00
block 38 * 60ff0000
block 39 * 198a6953
block 40 * 21c33538
block 41 * fff9ec4e
block 42 * ffdbdbdb
block 43 * ff7a7a7a
block 43 0 ff9f9f9f
block 43 1 ffdad29e
block 43 2 ff9c7f4e
block 43 4 ff926356
block 43 6 ff2c161a
block 43 7 ffece9e2
block 43 8 ff9f9f9f
block 43 9 ffdad29e
block 43 10 ff9c7f4e
block 43 12 ff926356
block 43 14 ff2c161a
block 43 15 ffece9e2
block 44 * ff7a7a7a
block 44 0 ff9f9f9f
block 44 1 ffdad29e
block 44 2 ff9c7f4e
block 44 4 ff926356
block 44 6 ff2c161a
block 44 7 ffece9e2
block 44 8 ff9f9f9f
block 44 9 ffdad29e
block 44 10 ff9c7f4e
block 44 12 ff926356
block 44 14 ff2c161a
block 44 15 ffece9e2
block 45 * ff926356
block 46 * ff82412f
block 47 * ff9c7f4e
block 48 * ff677967
block 49 * ff14121d
block 50 * 13826a3a
block 51 * 90dda657
block 52 * 9b1a2731
block 53 * ff9c7f4e
block 54 * ff9c7f4e
block 55 * 35efefef
block 56 * ff818c8f
block 57 * ff61dbd5
block 58 * ff6b472a
block 59 * a6566607
block 59 0 0500b312
block 59 1 1312ac0f
block 59 2 2b1c890b
block 59 3 4d258b08
block 59 4 672e8007
block 59 5 80427b07
block 59 6 8e507607
block 60 * ff4b280d
block 60 0 ff734b2d
block 61 * ff606060
block 62 * ff606060
block 63 * ff9c7f4e
block 64 * ff866532
block 65 * 8f795f34
block 66 * 6b786b56
block 66 0 8f796c58
block 66 1 8f796c58
block 66 2 8f796c58
block 66 3 8f796c58
block 66 4 8f796c58
block 66 5 8f796c58
block 67 * ff7a7a7a
block 68 * ff9c7f4e
block 69 * 136a5940
block 70 * ff7d7d7d
block 71 * ffa3a3a3
block 72 * ff9c7f4e
block 73 * ff846b6b
block 74 * ff846b6b
block 75 * 135d3e26
block 76 * 19a74b29
block 77 * ff7d7d7d
block 78 * ffeffbfb
block 79 * 9f7dadff
block 80 * ffeffbfb
block 81 * c30d6318
block 82 * ff9ea4b0
block 83 * 8c94c065
block 84 * ff6b4937
block 85 * ff9c7f4e
block 86 * ffc07615
block 87 * ff6f3634
block 88 * ff544033
block 89 * ff8f7645
block 90 * be590cc0
block 91 * ffc07615
block 92 * c3e4cdce
block 93 * ff979393
block 94 * ffa09393
block 95 0 7bffffff
block 95 1 7bd87e32
block 95 2 7bb24bd8
block 95 3 7b6599d8
block 95 4 7be4e432
block 95 5 7b7ecb18
block 95 6 7bf17ea4
block 95 7 7b4b4b4b
block 95 8 7b999999
block 95 9 7b4b7e99
block 95 10 7b7e3eb2
block 95 11 7b324bb2
block 95 12 7b654b32
block 95 13 7b657e32
block 95 14 7b993232
block 95 15 7b181818
block 96 * db7e5d2d
block 97 * ff7d7d7d
block 97 1 ff7a7a7a
block 97 2 ff7a7a7a
block 97 3 ff72776a
block 97 4 ff767676
block 97 5 ff767676
block 98 * ff7a7a7a
block 98 1 ff72776a
block 98 2 ff767676
block 98 3 ff767676
block 99 * ff8d6a53
block 99 0 ffcaab78
block 99 10 ffcaab78
block 99 11 ffcaab78
block 99 12 ffcaab78
block 99 13 ffcaab78
block 99 15 ffcfccc2
block 100 * ffb62524
block 100 0 ffcaab78
block 100 10 ffcaab78
block 100 11 ffcaab78
block 100 12 ffcaab78
block 100 13 ffcaab78
block 100 15 ffcfccc2
block 101 * 736d6c6a
block 102 * 46daf0f4
block 103 * ff979924
block 104 0 22009900
block 104 1 22139402
block 104 2 22268f04
block 104 3 22398a07
block 104 4 224c8509
block 104 5 2260810c
block 104 6 22737c0e
block 104 7 22867710
block 104 8 22007213
block 104 9 22136d15
block 104 10 22266918
block 104 11 2239641a
block 104 12 224c5f1c
block 104 13 22605a1f
block 104 14 22735521
block 104 15 22865124
block 105 0 22009900
block 105 1 22139402
block 105 2 22268f04
block 105 3 22398a07
block 105 4 224c8509
block 105 5 2260810c
block 105 6 22737c0e
block 105 7 22867710
block 105 8 22007213
block 105 9 22136d15
block 105 10 22266918
block 105 11 2239641a
block 105 12 224c5f1c
block 105 13 22605a1f
block 105 14 22735521
block 105 15 22865124
block 106 * 8a6f6f6f
block 107 * ff9c7f4e
block 108 * ff926356
block 109 * ff7a7a7a
block 110 * ff6f6369
block 111 * 930e3b16
block 112 * ff2c161a
block 113 * ff2c161a
block 114 * ff2c161a
block 115 * cc6f1211
block 115 0 2a6a0e1e
block 115 1 786c0f16
block 115 2 786c0f16
block 116 * ff67403b
block 117 * 767c6751
block 118 * 6f454545
block 119 * be590cc0
block 120 * ff597560
block 121 * ffdddfa5
block 122 * ff0c090f
block 123 * ff462b1a
block 124 * ff775937
block 125 * ff9c7f4e
block 125 1 ff674d2e
block 125 2 ffc3b37b
block 125 3 ff9a6e4d
block 125 4 ffa95b33
block 125 5 ff3d2712
block 125 9 ff674d2e
block 125 10 ffc3b37b
block 125 11 ff9a6e4d
block 125 12 ffa95b33
block 125 13 ff3d2712
block 126 * ff9c7f4e
block 126 1 ff674d2e
block 126 2 ffc3b37b
block 126 3 ff9a6e4d
block 126 4 ffa95b33
block 126 5 ff3d2712
block 126 9 ff674d2e
block 126 10 ffc3b37b
block 126 11 ff9a6e4d
block 126 12 ffa95b33
block 126 13 ff3d2712
block 127 * 8391501e
block 128 * ffdad29e
block 129 * ff6d8074
block 130 * ff14121d
block 131 * 2d8a8171
block 132 * 08818181
block 133 * ff51d975
block 134 * ff674d2e
block 135 * ffc3b37b
block 136 * ff9a6e4d
block 137 * ffb2896f
block 138 * ff74ddd7
block 139 * ff7a7a7a
block 139 1 ff677967
block 140 * 31764133
block 141 * 6f158002
block 141 0 0901ab10
block 141 1 0901ab10
block 141 2 1701bb0f
block 141 3 1701bb0f
block 141 4 3600be10
block 141 5 3600be10
block 141 6 3600be10
block 142 * 6922aa24
block 142 0 0901ab10
block 142 1 0901ab10
block 142 2 1701bb0f
block 142 3 1701bb0f
block 142 4 3600be10
block 142 5 3600be10
block 142 6 3600be10
block 143 * ff9c7f4e
block 144 * ff544033
block 145 * ff404040
block 146 * ff9c7f4e
block 147 * fff9ec4e
block 148 * ffdbdbdb
block 149 * ff9c9695
block 149 8 ffa59594
block 149 9 ffa59594
block 149 10 ffa59594
block 149 11 ffa59594
block 149 12 ffa59594
block 149 13 ffa59594
block 149 14 ffa59594
block 149 15 ffa59594
block 150 * ffa59594
block 151 * ff82745e
block 152 * ffab1b09
block 153 * ff7d544f
block 154 * 6f454545
block 155 * ffece9e2
block 155 1 ffe7e4db
block 155 2 ffe8e5dd
block 155 3 ffe7e3db
block 155 4 ffe7e3db
block 156 * ffece9e2
block 157 * 9b8d5146
block 157 0 9b685347
block 157 1 9b685347
block 157 2 9b685347
block 157 3 9b685347
block 157 4 9b685347
block 157 5 9b685347
block 157 6 9b685347
block 157 7 9b685347
block 158 * ff606060
block 158 1 ff565656
block 158 9 ff565656
block 159 0 ffd1b2a1
block 159 1 ffa15325
block 159 2 ff95586c
block 159 3 ff716c89
block 159 4 ffba8523
block 159 5 ff677534
block 159 6 ffa14e4e
block 159 7 ff392a23
block 159 8 ff876a61
block 159 9 ff565b5b
block 159 10 ff764656
block 159 11 ff4a3b5b
block 159 12 ff4d3323
block 159 13 ff4c532a
block 159 14 ff8f3d2e
block 159 15 ff251610
block 160 0 7bffffff
block 160 1 7bd87e32
block 160 2 7bb24bd8
block 160 3 7b6599d8
block 160 4 7be4e432
block 160 5 7b7ecb18
block 160 6 7bf17ea4
block 160 7 7b4b4b4b
block 160 8 7b999999
block 160 9 7b4b7e99
block 160 10 7b7e3eb2
block 160 11 7b324bb2
block 160 12 7b654b32
block 160 13 7b657e32
block 160 14 7b993232
block 160 15 7b181818
block 161 * 9a265f0c
block 162 * ff696359
block 162 0 ff9a5b40
block 162 1 ff4e3e29
block 162 2 ff9a5b40
block 162 3 ff4e3e29
block 162 5 ff342817
block 162 7 ff342817
block 162 9 ff342817
block 162 11 ff342817
block 162 13 ff342817
block 162 15 ff342817
block 163 * ffa95b33
block 164 * ff3d2712
block 165 * ff710504
block 166 * ff5b5855
block 166 1 ff62473f
block 166 2 ff4d5067
block 166 3 ff396c68
block 166 4 ff674845
block 167 * e9660000
block 168 * ff5d6262
block 169 * ff625157
block 170 * ff9d7412
block 170 0 ffa88b10
block 170 1 ffa88b10
block 170 2 ffa88b10
block 170 3 ffa88b10
block 171 0 ffdddddd
block 171 1 ffdb7d3e
block 171 2 ffb350bc
block 171 3 ff6a8ac9
block 171 4 ffb1a627
block 171 5 ff41ae38
block 171 6 ffd08499
block 171 7 ff404040
block 171 8 ff9aa1a1
block 171 9 ff2e6e89
block 171 10 ff7e3db5
block 171 11 ff2e388d
block 171 12 ff4f321f
block 171 13 ff35461b
block 171 14 ff963430
block 171 15 ff191616
block 172 * ff965c42
block 173 * ff121212
block 174 * ffa5c2f5
block 175 * 33416d2b
block 175 1 568e9484
block 175 2 8a7a7a7a
block 175 3 9e7b7b7b
block 175 4 b9454003
block 175 5 9336583b
block 176 * ff5d504d
block 177 * ff6c654c
block 178 * ff4b4747
block 178 1 ff473c60
block 178 2 ff564143
block 178 3 ff533f33
block 178 4 ff435157
block 178 5 ff403c3c
block 179 * ff434141
block 180 * ff8c5353
block 181 * ff600f0f
block 182 * ff5b1f1f
block 183 * ab6a6060
block 184 * ff891710
block 185 * ff971209
block 186 * 42771414
block 187 * ffa1312c
block 188 * 435b0202
block 189 * 5d590b05
block 190 * ff5b4303
block 191 * a9080400
block 193 * ff710504
block 194 * ff7c007c
block 195 * ff7c007c
block 196 * ff7c007c
block 197 * ff7c007c
block 199 * ff7c007c
block 200 * ff7c007c
block 201 * a81e1e1e
block 202 * ff7c007c
block 203 * ff7c007c
block 204 * ba831aa2
block 205 * 51831aa2
block 206 * ce94aaac
block 207 * e2210056
block 208 * b47b7b7b
block 208 0 ff797171
block 208 7 ff877c6a
block 209 * ff372b27
block 209 0 ff876c47
block 209 1 ffa49880
block 209 2 ffa49880
block 209 3 ff876c47
block 209 5 ffc0bcaa
block 209 6 ffb6b2a0
block 209 9 ffc0bcaa
block 209 10 ffb6b2a0
block 209 13 ffc0bcaa
block 209 14 ffb6b2a0
block 210 * 9a21540b
block 210 1 9a284474
block 210 3 9a284474
block 210 5 9a284474
block 210 7 9a284474
block 210 9 9a284474
block 210 11 9a284474
block 210 13 9a284474
block 210 15 9a284474
block 211 0 6d324529
block 211 1 55517a9b
block 211 2 1941664c
block 211 3 2479663a
block 211 4 5f468a68
block 211 5 639f497a
block 212 * ff2d1939
block 212 1 ff382146
block 212 2 ffbc8878
block 213 0 8c34502d
block 213 1 212e3b2a
block 213 2 36353136
block 213 3 4d2f3f2a
block 213 4 932a3028
block 214 0 e8f1b761
block 214 1 e8ecaf5c
block 214 2 6d63625f
block 215 0 ff181323
block 215 1 ff181323
block 215 2 ff484a47
block 215 3 ff4a4747
block 215 4 ff403457
block 215 5 fff0d29e
block 215 6 ff4c4c4c
block 215 7 ff494949
block 215 8 ff181323
block 215 9 ff474747
block 215 10 ff654141
block 216 * b7848484
block 217 * 3c323232
block 217 4 5f48422e
block 217 5 3c444444
block 218 * ff393939
block 218 3 ffcda41e
block 218 4 ffcda41e
block 218 7 5fa1984d
block 218 8 5f59983e
block 218 9 ff423d38
block 218 10 ff423d38
block 218 11 ff423d38
block 218 12 ab453b2f
block 218 13 5f924f71
block 218 15 ffcda41e
block 219 * ff3b2e25
block 219 0 ff453426
block 219 2 ff35292d
block 219 3 ff35292d
block 219 6 ff291c19
block 219 7 ffc7c1ae
block 220 * ff606060
block 220 0 ff414141
block 220 1 ff4c4c4c
block 220 5 ff4f4a37
block 220 8 43838518
block 220 12 ffd5d1ca
block 221 * 43383838
block 221 0 53a97b17
block 221 1 53a97b17
block 221 2 53a97b17
block 221 3 53a97b17
block 221 4 53a97b17
block 221 5 53a97b17
block 222 * ff453426
block 223 * ff453426
block 224 * f7282025
block 225 * df352a26
block 226 * ff453426
block 227 * 2289a8ca
block 227 0 3b5b5b5e
block 227 1 3b5b5b5e
block 227 2 3b5b5b5e
block 227 3 3b414a5d
block 228 0 5fe2d1b2
block 228 1 5fde7632
block 228 2 5fb84998
block 228 3 5f60779d
block 228 4 5fd1b51f
block 228 5 5f3db326
block 228 6 5fcc7071
block 228 7 5f3f3a31
block 228 8 5f978b77
block 228 9 5f256770
block 228 10 5f74298d
block 228 11 5f222a6c
block 228 12 5f4c2913
block 228 13 5f374613
block 228 14 5fa92a20
block 228 15 5f1c1714
block 229 * ff181323
block 231 * 1270602a
block 231 0 0a6c4e1e
block 231 1 0c6e642f
block 234 15 1d808080
block 236 * 3b647c96
block 237 0 3093c0af
block 237 1 45a37a09
block 237 2 33a132aa
block 237 3 5a3191c7
block 237 4 3e709d1e
block 237 5 5c33b33a
block 237 6 32928056
block 237 7 453e5b36
block 237 8 474f6b47
block 237 9 3c298492
block 237 10 38632567
block 237 11 480a2ea5
block 237 12 334f3b0a
block 237 13 5514580d
block 237 14 558e381a
block 237 15 4c192316
block 238 * ff7a7a7a
block 239 * ffadaa9b
block 239 0 ffccc9b5
block 239 1 ffbcb9a9
block 239 2 ffb4b69b
block 239 3 ffb3b1a2
block 240 * ff4e280b
block 240 0 ff401a0b
block 240 1 ff351509
block 240 2 ff341d09
block 240 3 ff341509
block 240 4 ff2c1207
block 241 * 32317e00
block 242 * ffbbc5c9
block 242 0 ff401a0b
block 242 1 ff401a0b
block 243 * ffccc9b5
block 244 * ffa8a696
block 245 0 3f9b9b9b
block 245 1 3f834d1f
block 245 2 3f6c2e83
block 245 3 3f3e5d83
block 245 4 3f8b8b1f
block 245 5 3f4d7c0f
block 245 6 3f934d64
block 245 7 3f2e2e2e
block 245 8 3f5d5d5d
block 245 9 3f2e4d5d
block 245 10 3f4d266c
block 245 11 3f1f2e6c
block 245 12 3f3e2e1f
block 245 13 3f3e4d1f
block 245 14 3f5d1f1f
block 245 15 3f0f0f0f
block 246 * ffd565ee
block 246 0 ff61dbd5
block 246 1 ff4dc724
block 247 * ff6246b2
block 248 * ffaeac9b
block 249 0 638b8b8b
block 249 1 6376451b
block 249 2 63612976
block 249 3 63375376
block 249 4 637d7d1b
block 249 5 63456f0e
block 249 6 6383455a
block 249 7 63292929
block 249 8 63535353
block 249 9 63294553
block 249 10 63452261
block 249 11 631b2961
block 249 12 6337291b
block 249 13 6337451b
block 249 14 63531b1b
block 249 15 630e0e0e
block 250 * ff929082
block 251 * ffb2877a
block 251 0 ff939082
block 252 * ff352a6e
block 253 * ff261006
block 254 * 633d3d3d
block 255 * ffc9bb61
block 409 * ff666e71
block 409 0 ff1f0c05
block 410 * 3f032814
block 411 * ffd565ee
block 411 0 ff499bda
block 411 1 ff4dc724
block 412 * 63ccbda2
block 413 0 3093c0af
block 413 1 45a37a09
block 413 2 33a132aa
block 413 3 5a3191c7
block 413 4 3e709d1e
block 413 5 5c33b33a
block 413 6 32928056
block 413 7 453e5b36
block 413 8 474f6b47
block 413 9 3c298492
block 413 10 38632567
block 413 11 480a2ea5
block 413 12 334f3b0a
block 413 13 5514580d
block 413 14 558e381a
block 413 15 4c192316
block 414 * ff4b465c
block 414 0 ff351609
block 414 1 ffaabcbe
block 415 * ff2d2606
block 415 0 ff301408
block 416 * ffc2cac6
block 416 0 ffbbc5c9
block 416 1 ffa4b1b6
block 416 2 ff9caeab
block 416 3 ffa3b0b5
block 416 4 ff92a2a8
block 423 * ff75c968
block 424 * 2c54ff00
block 425 * 8a1f4e0a
block 427 * ff3b574b
block 427 0 ff6aaa96
block 427 1 ff63a08f
block 428 * ffabc7bd
block 429 * ff866043
block 429 2 ff5a3f1c
block 430 * ff965c42
block 432 * ff96be6a
block 432 0 ff98b677
block 432 1 ff98b677
block 432 2 ff98b677
block 432 3 ff98b677
block 433 * ffb89c12
block 434 * ffb4b8e3
block 434 0 ff511d1d
block 434 1 ff432a1b
block 434 2 ffdde7e7
block 434 3 ff86523b
block 434 4 ffa9aee4
block 434 5 ffb0b4e3
block 434 7 ffaeb3e4
block 434 8 ffb2b6e3
block 434 9 ffb4b8e4
block 434 10 ffaeb3e3
block 434 11 ffbdc0e3
block 434 12 ffbdc0e3
block 434 13 ffc4c6e3
block 434 15 ff989fe4
block 435 * ff607b64
block 435 0 ff578066
block 436 * 6f8f088d
block 437 * ffa36554
block 438 * 36b0fcff
block 439 * ff7a7a7a
block 440 * 33b0bdff
block 441 * ff2f3354
block 442 * ff401a0b
block 443 * ff351509
block 444 * ffccc9b5
block 445 * ffbcb9a9
block 446 * ffbbc5c9
block 447 * ffa4b1b6
block 448 * ff98b677
block 449 * ffb89c12
block 450 * ff6aaa96
block 451 * ff63a08f
block 452 * ff3b574b
block 453 * ff511d1d
block 454 * ff432a1b
block 455 * ffdde7e7
block 456 * ff86523b
block 457 * ff11141a
block 457 1 ff171a23
block 457 2 ff161921
block 457 3 ff171b23
block 457 4 ff171b23
block 458 * ff11141a
